Bank,Year,Month,Media Category,dollars
Wells Fargo,2025,February 2025,Outdoor,66048
Wells Fargo,2025,February 2025,Print,84784
Wells Fargo,2025,February 2025,Television,6228189
Wells Fargo,2025,January 2025,Audio,839385
Wells Fargo,2025,January 2025,Digital,1760556
Wells Fargo,2025,January 2025,Outdoor,111783
Wells Fargo,2025,January 2025,Print,87720
Wells Fargo,2025,January 2025,Television,15031526
US Bank,2024,April 2024,Audio,46681
US Bank,2024,April 2024,Digital,159704
US Bank,2024,April 2024,Outdoor,5625
US Bank,2024,April 2024,Television,8286601
US Bank,2024,August 2024,Audio,55699
US Bank,2024,August 2024,Digital,145124
US Bank,2024,August 2024,Outdoor,5965
US Bank,2024,August 2024,Television,2716532
US Bank,2024,December 2024,Audio,215582
US Bank,2024,December 2024,Digital,609934
US Bank,2024,December 2024,Outdoor,185757
US Bank,2024,December 2024,Television,3942908
US Bank,2024,February 2024,Audio,56277
US Bank,2024,February 2024,Digital,110950
US Bank,2024,February 2024,Outdoor,5625
US Bank,2024,February 2024,Print,6530
US Bank,2024,February 2024,Television,4095
US Bank,2024,January 2024,Audio,85918
US Bank,2024,January 2024,Digital,61758
US Bank,2024,January 2024,Outdoor,5625
US Bank,2024,January 2024,Television,18694
US Bank,2024,July 2024,Audio,38358
US Bank,2024,July 2024,Digital,191838
US Bank,2024,July 2024,Outdoor,5965
US Bank,2024,July 2024,Television,1254125
US Bank,2024,June 2024,Audio,56775
US Bank,2024,June 2024,Digital,337282
US Bank,2024,June 2024,Outdoor,5625
US Bank,2024,June 2024,Television,4066491
US Bank,2024,March 2024,Audio,50594
US Bank,2024,March 2024,Digital,334144
US Bank,2024,March 2024,Outdoor,5625
US Bank,2024,March 2024,Print,258499
US Bank,2024,March 2024,Television,6105426
US Bank,2024,May 2024,Audio,55253
US Bank,2024,May 2024,Digital,89517
US Bank,2024,May 2024,Outdoor,5625
US Bank,2024,May 2024,Print,10755
US Bank,2024,May 2024,Television,7111088
US Bank,2024,November 2024,Audio,147485
US Bank,2024,November 2024,Digital,1156954
US Bank,2024,November 2024,Outdoor,396881
US Bank,2024,November 2024,Print,96052
US Bank,2024,November 2024,Television,7755949
US Bank,2024,October 2024,Audio,139978
US Bank,2024,October 2024,Digital,1241900
US Bank,2024,October 2024,Outdoor,362273
US Bank,2024,October 2024,Print,34879
US Bank,2024,October 2024,Television,11708157
US Bank,2024,September 2024,Audio,191705
US Bank,2024,September 2024,Digital,308748
US Bank,2024,September 2024,Outdoor,29180
US Bank,2024,September 2024,Print,38402
US Bank,2024,September 2024,Television,6724034
US Bank,2025,February 2025,Audio,74739
US Bank,2025,February 2025,Digital,256018
US Bank,2025,February 2025,Outdoor,5965
US Bank,2025,February 2025,Print,5809
US Bank,2025,February 2025,Television,5272497
US Bank,2025,January 2025,Audio,110360
US Bank,2025,January 2025,Digital,146604
US Bank,2025,January 2025,Outdoor,9250
US Bank,2025,January 2025,Print,9130
US Bank,2025,January 2025,Television,4401191
US Bank,2025,March 2025,Audio,25562
US Bank,2025,March 2025,Digital,57949
US Bank,2025,March 2025,Television,136981
