Bank,Year,Month,Media Category,dollars
Bank of America,2024,January 2024,Television,16903762
Bank of America,2024,July 2024,Audio,1897656
Bank of America,2024,July 2024,Digital,8865532
Bank of America,2024,July 2024,Outdoor,108009
Bank of America,2024,July 2024,Print,661908
Bank of America,2024,July 2024,Television,12126845
Bank of America,2024,June 2024,Audio,2463963
Bank of America,2024,June 2024,Digital,6695859
Bank of America,2024,June 2024,Outdoor,52119
Bank of America,2024,June 2024,Print,843128
Bank of America,2024,June 2024,Television,9357617
Bank of America,2024,March 2024,Audio,1916055
Bank of America,2024,March 2024,Digital,9098386
